Name,Surname,Birth,Birth Country,Gender,Code,Telephone,Email,Role,Experience,Salary USD
Noah,Williams,23/09/1985,GRC,Male,WILNOA85I23GRC77,373 697257,noahwilliams85@email.not,Research and Development Engineer,Junior,60089
Abigail,Hall,30/01/2000,MKD,Female,HALABI00A30MKD91,370 536761,abigailhall00@email.not,Technical Support Technician,Lead/Manager,72525
Gianna,Harris,15/09/1951,FR,Female,HARGIA51I15FR38,363 426962,giannaharris51@email.not,Cybersecurity Expert,Lead/Manager,100339
Elena,Turner,19/11/1970,CZE,Female,TURELE70K19CZE34,347 177790,elenaturner70@email.not,Technical Support Technician,Lead/Manager,68476
Emily,Adams,25/07/1984,ESP,Female,ADAEMI84G25ESP61,384 391002,emilyadams84@email.not,Seller,Intermediate,53733
Ethan,Robinson,15/04/1958,RO,Male,ROBETH58D15RO95,382 833979,ethanrobinson58@email.not,Seller,Senior,59571
Lily,Adams,10/01/1986,CYP,Female,ADALIL86A10CYP88,379 718125,lilyadams86@email.not,Administrative Assistant,Intermediate,44836
Evans,Anderson,04/08/1995,HR,Male,ANDEVA95H04HR59,379 452567,evansanderson95@email.not,Research and Development Engineer,Lead/Manager,91228
Evans,Collins,23/01/1987,CZE,Male,COLEVA87A23CZE74,354 236334,evanscollins87@email.not,Research and Development Engineer,Senior,79274
Green,Walker,11/10/1986,IRL,Male,WALGRE86J11IRL41,324 490643,greenwalker86@email.not,Seller,Junior,43274
Campbell,Edwards,01/09/1971,CHE,Male,EDWCAM71I01CHE82,354 471157,campbelledwards71@email.not,Operations Manager,Lead/Manager,84804
Olivia,Mitchell,27/04/1953,LV,Female,MITOLI53D27LV76,320 315992,oliviamitchell53@email.not,Human Resources Manager,Senior,66961
,,,,,,,,,,
Wright,Evans,09/01/1985,VA,Male,EVAWRI85A09VA45,334 776501,wrightevans85@email.not,Financial Analyst,Junior,49304
Nova,Lee,02/04/1951,DK,Female,LEENOV51D02DK52,357 489436,novalee51@email.not,Research and Development Engineer,Lead/Manager,104323
Nova,Young,20/09/1971,MDA,Female,YOUNOV71I20MDA92,363 344399,novayoung71@email.not,Technical Support Technician,Intermediate,50268
Campbell,Evans,10/06/1965,CH,Male,EVACAM65F10CH58,381 545568,campbellevans65@email.not,Financial Analyst,,56584
Wright,Martinez,25/04/1993,AL,Male,MARWRI93D25AL25,342 430710,wrightmartinez93@email.not,Technical Support Technician,Junior,47833
Aiden,Turner,12/01/1993,FI,Male,TURAID93A12FI42,315 726812,aidenturner93@email.not,Cybersecurity Expert,Senior,91574
Williams,Jones,07/03/1964,MCO,Male,JONWIL64C07MCO49,393 214020,williamsjones64@email.not,Seller,Intermediate,54979
Riley,Jones,09/02/1961,CHE,Female,JONRIL61B09CHE35,316 436934,rileyjones61@email.not,Marketing Manager,Intermediate,70246
Lillian,Jackson,15/01/1974,VAT,Female,JACLIL74A15VAT92,353 899764,lillianjackson74@email.not,Cybersecurity Expert,Intermediate,74500
Riley,Taylor,19/09/1989,PL,Female,TAYRIL89I19PL87,380 357842,rileytaylor89@email.not,Seller,Lead/Manager,60478
Nelson,Campbell,05/11/1969,LV,Male,CAMNEL69K05LV50,348 715472,nelsoncampbell69@email.not,Software Developer,Junior,56138
Riley,Phillips,12/03/1963,SWE,Female,PHIRIL63C12SWE64,395 110165,rileyphillips63@email.not,Software Developer,Lead/Manager,84954
Caden,Lopez,15/05/1956,TR,Male,LOPCAD56E15TR68,333 648580,cadenlopez56@email.not,Seller,Senior,60739
Elijah,Hernandez,26/02/1962,FR,Male,HERELI62B26FR22,368 153236,elijahhernandez62@email.not,Cybersecurity Expert,Junior,72880
Chiara,Williams,23/07/1960,FIN,Female,WILCHI60G23FIN11,343 994134,chiarawilliams60@email.not,Seller,Intermediate,55089
Perez,Young,29/03/1965,BLR,Male,YOUPER65C29BLR72,384 323751,perezyoung65@email.not,Financial Analyst,Senior,66719
Scott,Lewis,02/05/1987,ALB,Male,LEWSCO87E02ALB64,385 775679,scottlewis87@email.not,Cybersecurity Expert,Senior,81357
Victoria,Parker,03/01/1992,DK,Female,PARVIC92A03DK12,379 241438,victoriaparker92@email.not,Seller,Senior,64663
Davis,Martin,12/06/1954,SVK,Male,MARDAV54F12SVK37,388 831682,davismartin54@email.not,Operations Manager,Lead/Manager,82996
Aubrey,Stewart,16/06/1973,SWE,Female,STEAUB73F16SWE97,379 464967,aubreystewart73@email.not,Human Resources Manager,Lead/Manager,72190
Lucas,Parker,12/03/1984,UA,Male,PARLUC84C12UA18,381 828660,lucasparker84@email.not,Cybersecurity Expert,Senior,81684
Perez,Clark,04/01/1953,MK,Male,CLAPER53A04MK93,385 588196,perezclark53@email.not,Human Resources Manager,Junior,47976
Lopez,Edwards,28/03/1986,PRT,Male,EDWLOP86C28PRT70,321 350419,lopezedwards86@email.not,Administrative Assistant,Intermediate,47695
Ruby,King,07/02/1971,HRV,Female,KINRUB71B07HRV82,385 100148,rubyking71@email.not,Human Resources Manager,Intermediate,54415
Emily,Brown,05/02/1978,TR,Female,BROEMI78B05TR73,346 534994,emilybrown78@email.not,Technical Support Technician,Lead/Manager,60496
Riley,Hall,28/10/1994,BG,Female,HALRIL94J28BG69,364 748575,rileyhall94@email.not,Marketing Manager,Lead/Manager,79354
Benjamin,Edwards,13/12/1973,HR,Male,EDWBEN73L13HR19,365 942116,benjaminedwards73@email.not,Seller,Intermediate,56121
Sophia,Hernandez,02/09/1951,PRT,Female,HERSOP51I02PRT37,319 799464,sophiahernandez51@email.not,Financial Analyst,Senior,71268
Zara,Garcia,12/10/1984,AT,Female,GARZAR84J12AT55,349 620797,zaragarcia84@email.not,Administrative Assistant,Intermediate,47871
Abigail,Collins,20/07/1970,RU,Female,COLABI70G20RU23,364 824785,abigailcollins70@email.not,Research and Development Engineer,Intermediate,64525
Eli,White,23/03/1966,MLT,Male,WHIELI66C23MLT20,397 149635,eliwhite66@email.not,Technical Support Technician,Senior,52644
Lillian,Scott,29/03/1952,PL,Female,SCOLIL52C29PL97,391 597139,lillianscott52@email.not,Operations Manager,Lead/Manager,86691
Elijah,Moore,09/10/1951,IE,Male,MOOELI51J09IE74,344 223830,elijahmoore51@email.not,Cybersecurity Expert,Lead/Manager,104998
